gender;education type;locality;religion;how_often;generation;1_event
m;higher;village;no;never;8;education
f;professional;village;yes;never;8;sep
f;professional;village;yes;never;5;education
f;professional;village;yes;never;9;work
f;professional;village;yes;never;5;sep
f;general;village;yes;never;2;work
f;professional;village;yes;sev_a_year;8;sep
f;professional;village;yes;never;5;sep
m;professional;village;yes;never;8;education
f;higher;village;yes;never;11;work
f;professional;village;no;sev_a_year;7;sep
f;professional;village;no;never;4;work
f;higher;village;yes;sev_a_year;9;work
f;professional;village;yes;never;5;sep
f;professional;village;no;never;7;sep
m;professional;village;no;never;6;work
f;professional;village;no;never;5;education
m;professional;village;no;never;8;sep
f;professional;village;yes;sev_a_year;6;education
m;general;village;yes;never;6;sep
m;professional;village;yes;sev_a_year;4;sep
f;higher;village;yes;sev_a_year;6;education
m;professional;village;yes;never;6;sep
m;professional;village;yes;never;11;work
m;general;village;yes;sev_a_year;6;work
f;professional;village;yes;sev_a_year;9;education
m;professional;village;yes;sev_a_year;8;education
m;professional;village;yes;sev_a_year;11;sep
f;professional;village;yes;never;9;sep
f;professional;village;yes;never;7;work
f;professional;village;yes;never;10;child
f;professional;village;yes;never;4;work
f;general;village;yes;never;2;education
f;professional;village;no;never;9;work
m;general;village;yes;never;4;sep
f;professional;village;yes;never;8;education
f;professional;village;yes;sev_a_year;6;sep
f;professional;village;yes;never;5;work
f;general;village;yes;never;7;work
f;professional;village;yes;never;6;sep
f;professional;village;yes;sev_a_year;9;work
f;professional;village;no;never;7;sep
m;professional;village;no;never;10;education
f;general;village;yes;never;4;work
m;professional;village;yes;never;6;work
f;professional;village;no;never;7;education
f;professional;village;yes;never;2;sep
f;professional;village;no;never;7;sep
f;professional;village;no;never;9;marriage
f;general;village;no;never;7;education
f;general;village;no;never;3;education
f;professional;village;yes;never;6;education
f;professional;village;yes;never;8;partner
m;general;village;yes;never;5;work
f;general;village;yes;never;1;work
f;general;village;yes;never;7;work
f;general;village;yes;never;2;education
f;general;village;yes;never;3;work
m;general;village;no;never;9;work
m;professional;village;yes;never;7;work
f;professional;village;yes;never;7;education
f;general;village;yes;sev_a_year;6;work
m;professional;village;yes;never;5;work
m;higher;village;yes;min_once_a_month;8;marriage
f;professional;village;yes;never;6;education
m;general;village;yes;never;6;education
m;professional;village;yes;never;9;work
m;general;village;no;never;11;education
m;professional;village;yes;sev_a_year;5;sep
f;professional;village;yes;sev_a_year;6;sep
m;professional;village;yes;never;8;work
f;general;village;no;never;6;marriage
f;professional;village;yes;sev_a_year;9;sep
f;general;village;no;never;8;sep
f;professional;village;no;never;7;work
m;general;village;no;never;9;sep
m;professional;village;no;never;4;marriage
f;general;village;yes;sev_a_year;9;education
f;professional;village;no;never;6;work
m;professional;village;no;never;7;sep
m;general;village;yes;sev_a_year;5;work
f;professional;village;no;never;8;sep
f;general;village;yes;never;2;education
f;professional;village;yes;never;6;sep
m;professional;village;yes;never;7;sep
m;professional;village;yes;never;11;education
f;general;village;yes;never;4;partner
f;professional;village;yes;never;6;sep
f;general;village;yes;sev_a_year;5;sep
f;professional;village;no;never;9;sep
f;higher;village;yes;sev_a_year;8;work
f;professional;village;yes;sev_a_year;5;sep
m;higher;village;yes;sev_a_year;7;sep
f;professional;village;no;never;8;child
f;professional;village;yes;never;5;sep
f;professional;village;yes;never;7;sep
f;professional;village;yes;never;8;work
f;professional;village;yes;sev_a_year;8;sep
f;general;village;yes;sev_a_year;6;education
f;general;village;no;never;11;education
m;general;village;no;never;6;work
m;professional;village;no;never;5;marriage
f;general;village;no;never;1;work
f;general;village;yes;never;2;work
f;professional;village;no;never;11;sep
f;general;village;yes;sev_a_year;5;work
f;professional;village;yes;sev_a_year;8;marriage
f;professional;village;yes;never;6;sep
f;general;village;yes;sev_a_year;6;partner
f;professional;village;yes;sev_a_year;7;education
m;professional;village;no;never;6;partner
f;higher;village;yes;sev_a_year;10;sep
f;professional;village;yes;never;8;sep
f;professional;village;yes;sev_a_year;8;work
f;professional;village;no;never;10;sep
f;general;village;yes;never;2;work
f;higher;village;yes;sev_a_year;8;sep
f;professional;village;yes;never;6;education
f;professional;village;yes;sev_a_year;7;education
f;professional;village;no;never;6;work
m;professional;village;yes;never;7;sep
f;professional;village;yes;sev_a_year;6;sep
m;general;village;no;never;10;work
m;general;village;yes;sev_a_year;8;sep
m;professional;village;yes;never;8;sep
f;professional;village;yes;sev_a_year;10;marriage
f;general;village;yes;sev_a_year;2;education
m;general;village;yes;never;4;work
f;higher;village;yes;sev_a_year;8;sep
f;professional;village;yes;sev_a_year;7;work
m;higher;village;yes;never;6;work
f;professional;village;yes;never;6;work
f;professional;village;no;never;5;marriage
f;higher;village;yes;never;11;education
m;professional;village;yes;never;6;work
f;professional;village;yes;sev_a_year;4;education
f;higher;village;yes;sev_a_year;5;work
f;higher;village;yes;sev_a_year;7;education
f;professional;village;yes;sev_a_year;8;work
f;higher;village;yes;sev_a_year;8;education
f;professional;village;no;never;7;work
f;higher;village;no;never;8;work
f;professional;village;yes;sev_a_year;6;sep
f;professional;village;no;never;7;partner
f;higher;village;yes;never;8;sep
f;higher;village;no;never;11;work
f;higher;village;yes;sev_a_year;6;sep
f;higher;village;yes;never;8;work
f;professional;village;yes;never;10;education
f;professional;village;yes;never;5;work
f;higher;village;yes;never;2;sep
f;higher;village;yes;sev_a_year;9;sep
f;professional;village;yes;once_a_week;6;work
f;higher;village;yes;sev_a_year;11;sep
f;higher;village;yes;sev_a_year;9;sep
f;higher;village;yes;never;8;sep
m;professional;village;no;never;10;sep
m;professional;village;no;never;5;sep
m;professional;village;no;never;6;work
f;professional;village;no;never;6;sep
f;higher;village;yes;never;8;marriage
f;professional;village;yes;sev_a_year;3;work
f;professional;village;yes;sev_a_year;1;work
f;professional;village;no;never;9;work
f;general;village;no;never;7;marriage
m;higher;village;no;never;6;work
f;higher;village;yes;min_once_a_month;8;sep
f;general;village;no;never;5;work
f;professional;village;yes;sev_a_year;4;sep
m;general;village;no;never;4;work
m;professional;village;no;never;4;work
f;professional;village;yes;min_once_a_month;8;sep
f;professional;village;no;never;6;work
f;professional;village;yes;never;4;partner
f;professional;village;yes;never;2;work
f;professional;village;no;never;6;sep
f;higher;village;yes;never;1;sep
f;professional;village;yes;sev_a_year;9;partner
m;professional;village;no;never;8;sep
f;professional;village;yes;never;3;work
m;professional;village;yes;never;5;work
f;professional;village;yes;never;1;work
f;professional;village;yes;never;4;education
m;general;village;no;never;10;work
f;professional;village;yes;sev_a_year;9;sep
f;general;village;yes;sev_a_year;9;work
f;general;village;yes;never;11;sep
f;professional;village;no;never;4;sep
f;higher;village;yes;never;6;work
m;general;village;no;never;1;work
m;general;village;no;never;10;sep
f;professional;village;yes;never;5;work
f;professional;village;yes;never;2;work
m;general;village;yes;never;7;work
f;general;village;yes;never;2;education
f;professional;village;yes;never;9;education
f;professional;village;yes;sev_a_week;9;work
